TWEET,true_emoji,pred_emoji
Shoutout to Brook that McDonalds was clutch af,weary,blush
craving Starbucks,sob,weary
lol bet so you'll see !,smirk,weary
Okay so that's a bet️ we drinking early ?,relaxed,grin
"Starbucks , Bigfoot or emerald city ?",weary,grin
when the guy at subway flirts with you and then gives you a free drink and chips with your sub,smirk,weary
bet u would like that,grin,weary
She bet not fwu this year tell her you Bestfr said that,wink,smirk
"I bet it's hard being in the venue just now, seeing Hanbin with this condition",sob,smirk
I bet Ya bxtch digg a yfn ...,smirk,wink
Bet y'all didn't know I was a yoga enthusiast back in my day,smirk,sob
I bet North Korean wanted to test that on us &amp; God saved us,sob,yum
Awe thanks ️ but bro hopefully or I'm gone have to retake them hoes,relaxed,sob
Bib bet you they not gone run they mouths like they did at uya,sob,wink
I bet it was awesome,heart_eyes,wink
"Ah, don't say that. I bet you are awesome!",blush,wink
i did,blush,yum
ight bet,smirk,blush
how many yall wanna bet that girl's dna test said she was only like 1% asian,weary,smirk
"*drools* I'll bet that jerky is delish, I can almost smell it from here! #zshq",blush,wink
Starbucks sounds so good rn,yum,weary
I wish,sob,weary
I want to wear hats and scarves and boots! And let's not forget about peppermint mocha from Starbucks,heart_eyes,weary
I've been wanting Starbucks since 5ever but I fight the urge cause it's sooooooooo much sugar,sob,wink
Girl I better see me and that guy had us on camera like 8 times,weary,blush
I NEED STARBUCKS,heart_eyes,weary
Want subway,sob,yum
I bet y'all are happy we have police now,wink,weary
I bet,sob,weary
"I bet girl, pray so you can have patience .",wink,weary
that's a bet.,blush,sob
I want subway salad now,flushed,weary
that's a bet,blush,grin
"Me telling Starbucks drinks &amp; I'm sure her face is like this right now """" lmao",flushed,sob
Bout to eat some subway,yum,weary
"BLESS U, Now Arriving on the New York Subway: Free E-Books, Timed for Your Commute",heart_eyes,blush
You're so cute we proved him wrong. #bet,weary,smirk
You bet️,relaxed,blush
you bet,yum,blush
I need a friend that will go to the library or Starbucks with me and do homework,blush,heart_eyes
I've been craving it too,blush,weary
Starbucks,heart_eyes,yum
you bet,wink,blush
what your favorite character in stranger things? i bet it's eleven #Howl4ACure,yum,wink
"We Get That A lot, But Bet",sob,weary
Bet she won't lock the door next time,blush,weary
Subway n ice cream,yum,weary
So pretty,heart_eyes,sob
smh we forget,sob,weary
I bet you wanna kno,blush,weary
I need(want) subway,weary,yum
Watch me on tv tomorrow,grin,sob
We have an excellent makeup crew but I bet he'll look just fine! Are you boys choosing his wardrobe?,wink,heart_eyes
Starbucks for breakfast,flushed,yum
okay bet. ️,relaxed,smirk
"When I found about this the other day, I was so upset lol Walmart on the come up while Jordans on the come down",sob,weary
I bet you are always naughty...,yum,smirk
so y'all weren't going to ask me? bet,blush,relaxed
They saw Lexi in my Lexus and got hott,sob,heart_eyes
I bet the person who said this can't even dance,yum,blush
i bet,smirk,weary
we gonna find out soon,yum,sob
I bet,smirk,weary
Sames,weary,sob
Starbucks real quick,smirk,grin
37. Tell them they cute and I bet you'll see the biggest smile on they face,heart_eyes,smirk
can someone bring me Starbucks tmrw morning,sob,weary
DUH! Yo a$$ bet OR,heart_eyes,blush
you bet she is,heart_eyes,relaxed
The right one please,grin,sob
I want some subway or taco bell,yum,weary
Pizza Hut,weary,yum
Not Starbucks,weary,heart_eyes
Starbucks is the best,blush,grin
I bet you are,smirk,wink
these boys shooting 20 bet 20,flushed,yum
Happy #IcedCoffeeDay! #MsMcDavittRunsOnDunkin #foundagiftcardinmypurse,blush,heart_eyes
Bet Not Say Shit Lil Nigga,weary,wink
I bet you'll slay read 'em all in a week's time. Holy Molly cow.,grin,blush
ya'll coming up with something lit I bet,blush,relaxed
Quiero un subway,sob,yum
smh we forget,sob,heart_eyes
i bet,blush,weary
I bet,wink,weary
Subway never fails,heart_eyes,yum
I got subway,blush,yum
I want Starbucks,sob,weary
Bra Malik was not playing,sob,heart_eyes
Cycle wale Anna,heart_eyes,sob
I need subway,sob,weary
fine ass on BET,heart_eyes,yum
ight bet *blocked*,blush,wink
Oh that's a bet,smirk,wink
bet friend better get the regular size bottle friend,blush,yum
Squinting my eyes locked in wit a notion. She squint back? Hmm.. Bet I'm approaching,smirk,blush
You bet!,wink,grin
Subway cookies,heart_eyes,weary
I BET,blush,sob
Oweeeer my bitch even look phat from the front,smirk,weary
I Surely Aint,heart_eyes,sob
bet! Instead of pink Imma do purple okay,heart_eyes,wink
I bet you guys did amazing as always ️️,relaxed,smirk
next the BET Awards ..,wink,flushed
I'm more excited for you to be back than you are I bet,heart_eyes,relaxed
Brotherly love on BET,heart_eyes,weary
bet that chicken was sour AF,flushed,weary
let's all go to Starbucks then a haunted house on a little girls date,heart_eyes,blush
I entered the cup designing contest at Starbucks. Hope I win,blush,weary
I bet not ever see yo ass cutting no grass,sob,wink
Oh u bet Ashwin..never let go the kid in u..,wink,weary
Bet not,sob,wink
"Starbucks? — No, it is called Sunset.",blush,yum
brotherly love on BET,blush,grin
I bet the excitement is real,smirk,wink
follow me,blush,wink
"you should do it ️ i'll check your ig later, i bet you draw pretty well ️",relaxed,sob
"I'm happy gotta job now, so she can finally take me to subway",yum,relaxed
Subway sounds so bomb rn,sob,yum
getting subway,yum,weary
Got my Starbucks,yum,weary
I'm willing to bet he did!! Did you use this song Ashish ?,grin,wink
Thanks to my girls for Starbucks ️,relaxed,weary
Not the man crush Monday type but I bet I treat you right,wink,flushed
I miss having a phone! I can bet people think/assume I've been ignoring their messages!,sob,blush
Omg You Right ! 2 Hibachi &amp; 2 Subway,yum,weary
ard bet,sob,blush
Yooo!! The nanakuli mcdonalds just put my order on the house! Free food tonight b,yum,blush
My remedy 2 stress shopping,grin,blush
"Lol bet, go on private and watch yourself lose all your money !!!",blush,weary
Ight bet,grin,blush
Not Jade,blush,weary
learning a lot about willpower since im now living 5 mins away from mcdonalds,sob,yum
"You ain't gotta like me, bet you know my name thou",wink,blush
bet you do,wink,smirk
Starbucks sounds so good right now,heart_eyes,weary
I bet u can,wink,smirk
I bet bro,wink,sob
She does mind ya neck,smirk,weary
@ Starbucks,heart_eyes,blush
Ight bet,smirk,blush
I bet! You're so lucky,weary,smirk
My life,heart_eyes,weary
Alright bet! You don't so there's no what ifs,grin,blush
you bet ️,relaxed,wink
I'm so happy pumpkin spice is back at Starbucks ️,relaxed,heart_eyes
alright bet,grin,smirk
Got free starbucks while we were stuck during the rain,grin,weary
They always sweatin you,sob,heart_eyes
bet bet now hook me up with one of ya hgs,smirk,blush
That's a bet,smirk,blush
I bet,smirk,weary
I want subway,yum,weary
You so fuckin childish,weary,relaxed
fr but we rlly needa make a trip to mcdonalds one day,blush,flushed
At subway,weary,yum
I Bet,weary,sob
big bet,heart_eyes,blush
I want some Starbucks,yum,weary
I say all of these.,sob,weary
"""Nigga ain't thinking about that girl""️",relaxed,sob
It's about that time of day when I start craving mcdonalds..,weary,yum
had a nice little win on a free bet.,grin,sob
Aww bet,heart_eyes,blush
I'm Gonna Basically Live In Starbucks During The Fall,blush,heart_eyes
I lived my Wildcat dreams last night!,grin,relaxed
Brotherly Love on BET,heart_eyes,blush
I bet you won't,smirk,wink
Definitely gonna have to when I get home!,yum,sob
Anyone care to get me some Starbucks?,grin,weary
I bet you are!,yum,wink
ight bet,smirk,blush
"Anything she can do , I can do better I bet ya",wink,yum
what?,sob,flushed
Yeah. STARBUCKS,smirk,sob
and by the way dominos is the shit fuck ur feelings,heart_eyes,weary
subway today?,heart_eyes,yum
Every time I get a buttered croissant from Starbucks I think of Sisi,yum,heart_eyes
bet that,wink,blush
I want a vanilla bean frappe from starbucks with caramel,weary,heart_eyes
i bet ya nasty,wink,relaxed
okay bet lets do it!!,grin,weary
Oh I bet,smirk,sob
"Toddles ma noddles, we takin my birthday ass to McDonalds",grin,sob
I gotchu when school starts,wink,blush
White chocolate mocha from Starbucks,yum,heart_eyes
i forgot how much fu u were betül,heart_eyes,sob
Lmao ion even think she choosing either I can't,sob,smirk
Woah,flushed,weary
I luv,heart_eyes,sob
Damn I bet you think I swiped left,wink,sob
I bet,heart_eyes,weary
wanna bet?,blush,smirk
You bet!,blush,grin
Wanna bet,wink,blush
I bet that was painful,sob,heart_eyes
Dami Im live is an experience not to be missed. She is touring Australia to sold out venues and standing ovations http…,heart_eyes,blush
Bet you do,smirk,relaxed
You ain't gotta like me bet you know my name tho,smirk,wink
Chili con carne,wink,sob
OH MY LANTA BABY GIRL SLAY ME,heart_eyes,weary
i want starbucks so bad but i had it like everyday since i got here,weary,heart_eyes
Mf's got so much negative shot to say bout ya it's crazy but I bet they never said my bag was funny tho,smirk,weary
I bet I could take yah bitch,wink,blush
I hate walmart,weary,sob
idk about the hoes but i do.,weary,relaxed
Pumpkin spice,heart_eyes,yum
I bet the Brazilians are getting tired of listening to our anthem play,grin,weary
I bet the view was worth it,heart_eyes,smirk
then you just start fucking shit up,sob,yum
"wow , it spells bet",sob,wink
I can bet it will be an interesting discussion,blush,flushed
Finna be me,weary,sob
Mcdonalds money,sob,yum
bet is working,wink,smirk
I probably drink Starbucks 2-3 times per day ️,relaxed,weary
Bet the crew do ️,relaxed,weary
i bet,grin,weary
"bet money, I'm turning this hoe in tomorrow",blush,wink
I bet...,wink,blush
If i still fwy rn then you bet i helluh appreciate you,weary,smirk
Aww bet,smirk,blush
I'm becoming a Starbucks regular now that I live so close to one.,grin,sob
I bet I don't know how your face be swollen though that's weird,sob,blush
"Holy shit, a 51,000 sq ft Starbucks is planned to open in Phoenix and includes the most ridiculous shit",flushed,blush
i bet you are,sob,weary
yeah Bet ️ lmaoo,relaxed,grin
I wish chick-fil-a was close so I wouldn't have to get mcdonalds breakfast,sob,heart_eyes
Thank you,grin,blush
I bet those lights take a lot of dedotated wam,wink,heart_eyes
I bet not find them,heart_eyes,weary
How tf y'all let the Cowboys bet y'all,weary,flushed
"I bet the ""cocky crew"" isn't so cocky after tonight",yum,heart_eyes
Wail! Austin's liberal? In Texas? Trump will still get a full house I bet!,blush,wink
I bet,wink,weary
The most important ones are friends like that go to mcdonalds with you at 1:26am ️ #friesbeforeguys,relaxed,smirk
u bet ur sweet ass I do,wink,sob
You lucky I bet his dick was magic,heart_eyes,wink
I bet!! I'm glad️,relaxed,blush
In dire need of Starbucks,sob,weary
It is,smirk,blush
Bet a bitch won't swing on a female that quick,blush,wink
now THAT'S a bet,wink,sob
I want some subway,yum,weary
"How much can we bet that the 25,000 cut is not going happen within the police or army?",blush,weary
I bet that you can't watch this without smile,heart_eyes,smirk
I want Starbucks but I don't want to drive all the way there,weary,heart_eyes
Ight bet,sob,blush
#TuesdayMotivation #goals getting back to #healthy eating after having some #McDonalds yesterday,heart_eyes,relaxed
Damn I bet you think I swiped left,wink,sob
I can't trust a bitch so I keep my pistol ay lil cray think he da shit I bet yo bitch know,smirk,blush
Starbucks sound bomb rn,heart_eyes,sob
I always put a bet on your draw tip.,grin,wink
someone bring me a vanilla bean frap from starbucks,weary,sob
Watching Only for One Night on BET and the chick playing Karreuche's sister ain't shitttt,sob,blush
You ain't gotta like me but I bet you know my name though.,wink,relaxed
I bet you thought I forgot,blush,wink
how many yall wanna bet that girl's dna test said she was only like 1% asian,weary,smirk
oh yeah I bet,yum,wink
Starbucks,yum,heart_eyes
I saw some videos about it but I bet the book will be waaay better. Thanks Georgy!,grin,sob
me again ..i've change tho ima just cut you off,blush,sob
I bet,yum,weary
Police standoff with ???? Lord they bet not hurt my baby!! Please just follow their instructions!,weary,wink
This movie on BET pissing me off,grin,relaxed
I love you too n FUCKIN BET,heart_eyes,weary
Chanel vs Walmart?,smirk,flushed
Mcdonalds,yum,heart_eyes
&amp; Range Rovers,heart_eyes,sob
its been a year and I bet is still suffering,wink,blush
lol I bet you'll let me nap peacefully now,blush,smirk
Bet tell her you need that 50,yum,weary
Alex from Walmart,weary,yum
My girl bought me subway today,blush,weary
I bet this is what you had in mind,wink,smirk
"Bet nobody you've been with know you a freak, you know you only do that with me",smirk,heart_eyes
Hell yea had me stressin bout how I was gone tell chassity,weary,sob
that is Ally from Fifth Harmony.,weary,wink
that's a bet,wink,smirk
Walmart deli be so good,heart_eyes,yum
I bet he wasn't expecting this...,blush,smirk
honestly my biggest pet peeve is Starbucks taking forever when they're empty,weary,yum
if i see him on your story you bet ill call your mum to let her know first,yum,wink
When your Starbucks is free I might marry this cashier,heart_eyes,sob
A Starbucks drink sounds good asf rn,sob,weary
I'm crying,weary,sob
I need a friend that will go to the library or Starbucks with me and do homework,blush,heart_eyes
They dislike me but I bet I'm in there search️,relaxed,blush
I wish Starbucks delivered,sob,weary
What do you do when your #flight gets #delayed? Buy yourself a #starbucks #frappe,grin,heart_eyes
"That's what the subway maps are for. You know, like the one you snapchatted..",smirk,sob
So close,heart_eyes,sob
Ledecky is about to swim. She will win. Will she break another world record? I will def. bet on that,blush,smirk
I want Starbucks,heart_eyes,weary
"yes, three years ago in a Starbucks",weary,sob
Starbucks testing me today,blush,weary
Can't *️,relaxed,sob
he dipped his toe,weary,blush
"get that Starbucks coffee at this liquor store, caramel flavor. It's like synthetic cocaine",sob,heart_eyes
I want Starbucks!,weary,blush
I want a kids meal and I'm not talking about mcdonalds,wink,weary
oh I bet,weary,wink
bet not go crazy on me like you did last time,sob,blush
I bet her boyfriend was like,sob,wink
Beyoncé stays for mtv and accepts her awards BET gets her mom and a lie,sob,blush
Subway .,yum,relaxed
I. SWEAR. TO. GOD. IT. IS.,sob,weary
oh shit haha I bet it was worth it though!,flushed,wink
craving dominos pizza &amp; a slurpee,weary,heart_eyes
Bet y'all ain't know I had a girlfriend,heart_eyes,smirk
Damn!,flushed,heart_eyes
Starbucks has almond milk now,weary,yum
you seen dey made a two way adapter so you can do both I bet that Bih cost an arm and a leg,sob,flushed
Someone bring me Starbucks,blush,weary
Want subway,weary,yum
This subway good asf,heart_eyes,yum
okay bet when I go in today I'll take off,blush,smirk
nigga I really know it makes sense Ctfu look up the lyrics I bet I'm right,sob,grin
What me and nats conversations consist of.. bet ya can't guess what they say,wink,sob
"Can't wait bet it's great, like you...",blush,wink
I bet,wink,weary
Waiting for How to Rock Denim to start!,heart_eyes,sob
I want Starbucks,flushed,weary
Me too,flushed,sob
can't wait for the pumpkin spice latte to come back @ Starbucks,heart_eyes,blush
that's a bet,blush,smirk
i bet,heart_eyes,weary
Can't relate,sob,wink
Nah just car parts,heart_eyes,sob
mcdonalds,blush,yum
When you've won your third bet in this ManU match,blush,smirk
thanks boo ️,relaxed,weary
I bet you would,smirk,wink
kmfl that's a bet,wink,blush
they most definitely know my name cus it stay in they mouth.,smirk,grin
I want some Starbucks,smirk,weary
I'm ready for the bet hip hop awards,sob,smirk
"If you my nigga, you my nigga, bet not change on me",smirk,weary
I bet.,blush,smirk
Ik it for sure,weary,smirk
Starbucks on my mind,yum,weary
"bet, i'll b bck in the area sunday afternoon",wink,weary
I want some Starbucks,smirk,weary
bet I'd be 100x more lit with us two,smirk,wink
"Aw, take a picture",heart_eyes,weary
Tyrique better bring me some McDonalds,weary,smirk
Late night McDonalds after gym,sob,heart_eyes
Dexter and Shea enjoying their first Puppaccinos from,blush,heart_eyes
Accurate,sob,weary
I want some starbucks,yum,weary
This reminds me of our conversation at Starbucks the other day,weary,wink
Holy,flushed,weary
"lmao yall wont enn make da playoffs, tryin bet tonight or u wan see how your mob lookin first",grin,blush
... and if I ain't good looking you can bet my bitch is ️,yum,weary
i could live on subway omggg,heart_eyes,yum
"Take a peek, fellow tweeps. Bet you'll learn something!",blush,flushed
On who girl you know it's you .,blush,wink
Starbucks kinda morning,blush,yum
don't say that but aight bet !,sob,wink
awe thanks️ &amp; aye bet !,relaxed,blush
Me too,weary,heart_eyes
"Good Morning! So if you see want, pray on it and own it! @ Starbucks",wink,sob
"Tambay mode. (@ Starbucks Coffee in Imus City, Cavite)",grin,heart_eyes
Chris Brown Babymomma set him up lol. She want full custody &amp; that extra cash. Bet her &amp; the white girl in on it,weary,sob
Subway cookies are the best,heart_eyes,yum
I hate going to Walmart at night,weary,sob
. Right although I don't eat they food,sob,yum
Bet you don't wanna go now..Got da shit dat make a nigga wanna slow down,smirk,sob
good for you ️,relaxed,sob
I could really go for some Starbucks right now.,sob,weary
lemme see lol I bet she ugly,sob,wink
Brotherly Love is on BET,weary,heart_eyes
"lmao I bet Gigi sent some dumb shit to Z like ""look I'm Griff """,yum,flushed
that's a big bet brudda,smirk,grin
I want to get Starbucks with and jam to Jacob's new album rn,weary,heart_eyes
hey yes Starbucks I'm down,blush,sob
I want Subway,yum,weary
Subway cookies,grin,weary
You ain't want me then but I bet you want me noooowww,smirk,wink
I need this pizza right here rn,weary,sob
"One word, Starbucks.",weary,sob
McDonald's,smirk,yum
Yo I really need a Starbucks w/ a espresso shot,weary,yum
A simple 2 hours to organize my thoughts... #plan #organize #actionnextweek @ Subway Shopwise…,yum,blush
ay bet,wink,grin
You bet,heart_eyes,blush
THE BET AWARDS TONIGHT ?!,flushed,sob
Eh? Windy yes &amp; bad rips but I've seen worse Bet u have too,wink,blush
Starbucks bout to hit rock bottom real soon,grin,relaxed
Go there only for em,heart_eyes,sob
I swear subway cookies are the best,blush,sob
That gives me goose bumps...tears,sob,heart_eyes
A mans sweaty forehead just bumped against my outstretched arm on the subway oh lord #newyork,flushed,heart_eyes
Tell me about it,wink,sob
bet! Will do,grin,sob
Bunny: I bet yours are too!,heart_eyes,relaxed
Baby you mean to say have 3 amazing children.,blush,sob
"""Taylor that works at Subway makes me wanna go there all the time """,heart_eyes,weary
All you gotta do is get me Starbucks &amp; some fire weed,blush,sob
someone order me dominos,blush,weary
"best parts about wednesdays: sleep in, starbucks, game day",grin,sob
Go head with ya baggy ass clothes i bet you the nigga with baggy shit on in ya avi.,weary,flushed
chna starbucks subah alsalem oppened?,heart_eyes,grin
I was just about to tweet that,sob,yum
I bet!,grin,wink
Obsessed with the mango black tea lemonade from Starbucks,yum,heart_eyes
You bet!,wink,blush
I got you a Starbucks give card go get you some coffee and yo chocolate right here waiting for you,wink,sob
whettttt ?,weary,heart_eyes
I bet,grin,weary
I know that's my munchkin ️,relaxed,sob
That's tomorrow ️️,relaxed,sob
they dance belly dance playing Ala Khwanah from Bet'oul Eh Album in London,heart_eyes,wink
i bet,sob,weary
Mf's got so much negative shot to say bout ya it's crazy but I bet they never said my bag was funny tho,smirk,weary
I want Starbucks,yum,weary
Try me,blush,heart_eyes
I'm about to go to Starbucks,grin,weary
bet you must feel like a champ ️,relaxed,wink
I love the smell of subway,yum,heart_eyes
No need to mute. I'm sure she blocked before anyone could respond.,smirk,wink
bet. find a ride home then️,relaxed,grin
That raspberry cheese cake,yum,heart_eyes
Got my subway,yum,weary
I bet it's good,weary,wink
craving a vanilla bean from Starbucks,weary,yum
Yeah,grin,sob
Ight bet,sob,blush
Bet there's a few super sour sweets in them bags,flushed,wink
I want Starbucks,heart_eyes,weary
Sweet tea from is the holy grail of beverages,weary,blush
if I ever get to come but bet !! I really want some,sob,wink
u bet,wink,weary
Brotherly Love on BET,weary,blush
You're welc,blush,weary
Starbucks,heart_eyes,yum
Bet you're a pro at riding dck. ___ My lawyer advised me not to answer this.,smirk,grin
I get to drink it for the two of us everyday,blush,weary
don't. i'm gonna have to try that veggie thing when we go on our next subway date,sob,blush
Why is McDonalds coke so much nicer,heart_eyes,weary
"cool, you bet",grin,smirk
You bet,smirk,blush
"I kante relate, I don't play bet.",grin,heart_eyes
Today is babe's first day working at Starbucks,heart_eyes,sob
I bet Mrs.Chappell is the kind of person to not care harambe died,sob,wink
new instagram picture is up! I bet you can't be the first one to comment,wink,grin
YASSSSSS my girl ! #OneShot,grin,heart_eyes
You bet!,smirk,grin
I bet no one can beat my high score on Hexavoid,heart_eyes,smirk
Craving subway or jimmy johns,weary,sob
bet you are,wink,smirk
Me and just watched someone get arrested at Walmart,flushed,blush
Make out with Blake. I bet that would blow up.,sob,blush
Subway cookies are the best,yum,heart_eyes
saw at Walmart and it made my day,heart_eyes,weary
Shit I bet you Bobby happy with that 7 yrs cause it could be worse like his mans 98 yrs,weary,blush
Starbucks is my shit,wink,weary
Craving Starbucks and cookies,weary,heart_eyes
this girl at Starbucks just made my day,blush,heart_eyes
This shit just pissed me off wtf,sob,weary
", put another bitch in my position &amp; i bet she'll fold on you",blush,relaxed
The fact that Starbucks now has almond milk makes me so happy,yum,sob
Man Wdf ii bet uu he still eat it it get bad enough,sob,grin
alright bet,sob,blush
Starbucks is love,heart_eyes,blush
you bet,smirk,blush
les vendeurs du subway,yum,weary
Starbucks sound bomb rn,heart_eyes,sob
Y'all Bet Not Let Me Get Nook Imma Give Her The World,weary,wink
I want subway,blush,weary
I haven't had Starbucks in the longest,sob,blush
"bet, love you lil mama",yum,heart_eyes
"Delayed telecast of Team USA win - but congrats Coach Dawn - is it cold in the arena, need Starbucks on the bench",wink,weary
"Nigga said ""its BET weekend""",weary,smirk
you bet I do,heart_eyes,wink
my b I didn't notice,sob,wink
PSA: Starbucks in the union doesn't have water so you basically can't get any teas or coffees,blush,yum
This gone be me and my girl at prom bet,wink,flushed
"@ Starbucks Coffee, Sm City Gensan",grin,blush
we all know her ass can't fight anyway,sob,relaxed
you bet it does,smirk,blush
I bet her braid outs fire.,flushed,smirk
I bet you won't turn up,wink,smirk
Trying another new drink from Starbucks! This time a Blackberry Mojito Lemonade &amp; it's so pretty,yum,heart_eyes
Subway date,wink,yum
Literally me everyday,weary,sob
and I bet them weak shits gone sell out the first day,sob,weary
"""just what I needed "" *with a picture of Starbucks*",yum,sob
"Put a bitch in my shoes, bet she fold.",blush,smirk
BET I'm getting this,heart_eyes,yum
You bet,blush,heart_eyes
Starbucks,yum,heart_eyes
You know he play,weary,smirk
Dominos need to do a large garlic pizza bread,heart_eyes,blush
dis so bloody,sob,weary
"best parts about wednesdays: sleep in, starbucks, game day",grin,sob
I bet it's good,wink,weary
lol bet that️make sure you sice us in the background,relaxed,blush
Subway,grin,yum
Bullshit,sob,weary
I'm Subway fresh,smirk,grin
Mom just put 40 bills on my Starbucks card it's lit,yum,weary
Avery from Subway,heart_eyes,sob
this shit so accurate &amp; true,weary,sob
aww thats cool~ i bet y'all are hyper haha ahh i see thanks,grin,relaxed
"Umm... I think you forgot the whiskey, Man.",blush,grin
i bet u miss me,smirk,wink
starbucks sounds so good rn,yum,weary
finally got my subway,yum,weary
Dawg stfu,sob,weary
Bet that wasnt scripted,smirk,weary
I want some Starbucks,smirk,weary
bet that up,smirk,wink
we should go get Starbucks today,grin,heart_eyes
SUBWAY I LOVE YOU,heart_eyes,weary
oh bet,heart_eyes,blush
hell yeah,wink,heart_eyes
The amount of trips my roomies and I have made to Walmart is ridiculous,blush,flushed
Bet you wish you still had me now,smirk,weary
Yes and we are also the same centimetres of height. I understand you.,blush,sob
bet say less,yum,smirk
Someone bring me Starbucks,flushed,weary
i bet you do,sob,smirk
Gutter runs is not my thing.,blush,smirk
mcdonalds sweet tea is soooo good!,weary,heart_eyes
say that,yum,sob
I want Starbucks,yum,weary
late night mcdonalds drive,yum,weary
I bet she's even more beautiful in person,weary,heart_eyes
This subway about to give me life,yum,weary
I need to go to Starbucks,smirk,weary
"bitches be like ""you bet not do dat no mo"" *dae dae voice*",weary,blush
you wanna bet,grin,blush
oh okay bet,sob,smirk
Gotta love free Starbucks,wink,yum
you bet,heart_eyes,blush
Really want Starbucks,sob,weary
Legend edition gold* and bet...,sob,blush
Want Starbucks,heart_eyes,weary
I bet she says he is slow when they argue,sob,blush
You bet!!,grin,wink
is trying to take my money.. All these new cups in my favorite color!!,heart_eyes,blush
i would be so pissed,sob,weary
I bet it is going to be for computers.,blush,smirk
"I bet you'd love to see that one properly, it's shiny blue and green in the light",heart_eyes,wink
Someone bring me Starbucks to work rn,sob,smirk
Aiight bet..,heart_eyes,blush
This just shows Beyonce loves MTV more than BET ...She is actually walking the red carpet #VMAs,heart_eyes,smirk
we don't deserve these blessings,weary,heart_eyes
We have the best Starbucks and cafe on campus like yes,sob,weary
iight bet,blush,smirk
thank you babes so are you and that's a bet,heart_eyes,relaxed
Subway for lunch,yum,weary
Bet if I suck on that pussy bet that'll get you wet,smirk,wink
I bet no one can beat my high score on Hexavoid,heart_eyes,smirk
pumpkin back at Dunkin wait all year for this,heart_eyes,weary
Whaaaaat,heart_eyes,sob
LJ learned his lesson now bet you he won't fuck up no more,sob,smirk
a BET is a BET,yum,blush
"when in doubt &amp; broke, but dominos pizza anyways",blush,weary
"I read over my tweets and see I misspell things, I bet y'all be like damn she slow #ncat",sob,grin
I need Starbucks,yum,weary
I bet he will,grin,wink
Bet bread I won't go,sob,smirk
bet you won't pull up tho,grin,weary
i bet she could never make you cry,wink,yum
"bet, it's a date",grin,blush
"""She's just a friend"" fucking bet",sob,smirk
bet lets go! its gonn be lit,weary,wink
I bet I won't,blush,smirk
I want Starbucks now thanks,blush,weary
Not if you bet on the Broncos ️,relaxed,grin
I just said this in my head,yum,sob
"""Sounwich""",sob,yum
I want some pancakes &amp; Starbucks,weary,heart_eyes
I need some subway,yum,weary
lmfao bet i want my tongue again too lol,smirk,sob
"Subway, chatime, big apple, dip n dip hahaha",yum,blush
Really,weary,sob
i bet,sob,weary
someone pick me up and take me to starbucks,sob,blush
I bet,blush,weary
I bet solo Harry is coming on his way.,yum,smirk
Spent*,blush,heart_eyes
Craving Starbucks,yum,weary
aight bet,grin,weary
wanna bet,smirk,blush
I bet he acted on every thought before they left the hotel &amp; when they got back,blush,weary
u bet,smirk,weary
"Oh my days fav drake song too, gave me chills",heart_eyes,relaxed
bet u can't whip like me,grin,smirk
Subway,heart_eyes,yum
I BET,sob,heart_eyes
you bet I will be,blush,wink
When I need starbucks,smirk,weary
Starbucks time,grin,yum
I bet she was,weary,wink
"I just had the nicest subway ever, bmt with lettuce and southwest",heart_eyes,sob
way ahead of you,yum,heart_eyes
bet i'll get some just gimme a minute,wink,sob
i bet u are,smirk,wink
bet ko un tomboyish Yoon Eun Hye b4 Princess Hours.YEH &amp; Jong Kook in Running Man #ALDUBMakeItReal https:/…,heart_eyes,sob
I want subway or way back burger,weary,yum
Them Dominos Niggaz,sob,heart_eyes
Starbucks,heart_eyes,yum
I want Starbucks,yum,weary
yes that's a bet ️we in the same dorm and everything,relaxed,yum
I already had some :( but thanks for the invite,blush,sob
I want Starbucks,heart_eyes,weary
"It would've fucking stayed thea , bitch gimmie my money back",sob,smirk
lmao i bet,smirk,sob
bet come over,wink,smirk
bet I got you,smirk,wink
. Bet baby boy!,heart_eyes,grin
rt-ing this because i might just try this today,yum,blush
daddy,weary,grin
I bet,sob,weary
"that's a bet if I ever need a passenger for a car ride, you better be available",smirk,sob
I bet,smirk,weary
In other news time to go get,yum,smirk
aww bet it's on,grin,wink
"only justin can make everything look like a photoshoot, just by walking from the subway",heart_eyes,weary
Bet my snake is bigger than yours,blush,wink
i bet,blush,weary
someone should hook me up with an iTunes and/or Starbucks gift card for my birthday,yum,weary
Bet that wet that,wink,smirk
Let my girl sing to me bet I'll b all like,sob,smirk
JEN YOU LOOK SO MAD,sob,heart_eyes
I bet you'll get a scolding from Milan when he sees this!!!,grin,relaxed
i bet you are,smirk,wink
I bet you will announce and at 7:45,smirk,blush
Group F or D for I bet,flushed,blush
i bet,smirk,sob
Ok Bet,blush,sob
Okay I officially make too many Starbucks runs but idc,yum,sob
lmfao subway hates us,sob,weary
mmm I'll bet they are! How do we get access to the vids? or through the naughty lady?,wink,smirk
I swear girls best bet is BoxBraids . den shits,heart_eyes,weary
whatever bailey i bet you got all the freaks hittin you up,wink,relaxed
bet. &amp; food,weary,yum
Wanna bet?,weary,blush
Just when I remembered the social experiment of ️,relaxed,sob
u bet we do,grin,blush
Bet we got you,blush,smirk
I want to wear hats and scarves and boots! And let's not forget about peppermint mocha from Starbucks,heart_eyes,weary
"when you eat at Subway, what do you get?",yum,weary
